date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:26	11907/11907	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jul%202024%2022:41:29%20GMT	https://www.wikirafa.com/robots.txt		(from )
00:41:26	101709/101709	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:29%20GMT	https://www.wikirafa.com/	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/index.html	(from )
00:41:27	297036/297036	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Jun%202023%2004:48:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/My%20Web%20Sites/WikiRafa/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://www.wikirafa.com/)
00:41:27	15019/15019	---M--	200	added ('OK')	text/javascript	etag:%227c71a5bdb9600c4e%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/WikiRafa/apis.google.com/js/clientc932.js	(from https://www.wikirafa.com/)
00:41:27	101780/101780	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:31%20GMT	https://www.wikirafa.com/proyecto-wikirafa	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/proyecto-wikirafa.html	(from https://www.wikirafa.com/)
00:41:28	93862/93862	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:31%20GMT	https://www.wikirafa.com/estudiantes	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/estudiantes.html	(from https://www.wikirafa.com/)
00:41:28	85114/85114	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:31%20GMT	https://www.wikirafa.com/biograf%c3%ada	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/biograf%c3%ada.html	(from https://www.wikirafa.com/)
00:41:28	71590/71590	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:32%20GMT	https://www.wikirafa.com/filosof%c3%ada	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/filosof%c3%ada.html	(from https://www.wikirafa.com/)
00:41:29	76145/76145	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:32%20GMT	https://www.wikirafa.com/club-de-fans	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/club-de-fans.html	(from https://www.wikirafa.com/)
00:41:29	79547/79547	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:32%20GMT	https://www.wikirafa.com/tienda-online	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/tienda-online.html	(from https://www.wikirafa.com/)
